MTPR from pot.mtp, Database: train.cfg
BFGS iterations count set to 500
BFGS convergence tolerance set to 0.001
Energy weight: 1
Force weight: 0.01
Stress weight: 0.001
BFGS iter 165: f=0.000949397
BFGS iter 166: f=0.000949395
BFGS iter 167: f=0.000949391
BFGS iter 168: f=0.000949388
BFGS iter 169: f=0.000949383
BFGS iter 170: f=0.000949378
BFGS iter 171: f=0.000949375
BFGS iter 172: f=0.000949373
BFGS iter 173: f=0.00094937
BFGS iter 174: f=0.000949355
BFGS iter 175: f=0.000949329
BFGS iter 176: f=0.000949316
BFGS iter 177: f=0.00094931
BFGS iter 178: f=0.000949303
BFGS iter 179: f=0.00094929
BFGS iter 180: f=0.00094927
BFGS iter 181: f=0.000949248
BFGS iter 182: f=0.000949227
BFGS iter 183: f=0.000949207
BFGS iter 184: f=0.000949197
BFGS iter 185: f=0.00094919
BFGS iter 186: f=0.000949187
BFGS iter 187: f=0.000949186
BFGS iter 188: f=0.000949185
BFGS iter 189: f=0.000949183
BFGS iter 190: f=0.000949158
BFGS iter 191: f=0.000949134
BFGS iter 192: f=0.000949121
BFGS iter 193: f=0.000949116
BFGS iter 194: f=0.000949114
BFGS iter 195: f=0.000949113
BFGS iter 196: f=0.000949112
BFGS iter 197: f=0.00094911
BFGS iter 198: f=0.000949103
BFGS iter 199: f=0.000949088
BFGS iter 200: f=0.000948032
BFGS iter 201: f=0.000948026
BFGS iter 202: f=0.000947978
BFGS iter 203: f=0.000947971
BFGS iter 204: f=0.000947952
BFGS iter 205: f=0.000947934
BFGS iter 206: f=0.000947889
BFGS iter 207: f=0.000947827
BFGS iter 208: f=0.000947762
BFGS iter 209: f=0.000947707
BFGS iter 210: f=0.000947622
BFGS iter 211: f=0.000947559
BFGS iter 212: f=0.000947515
BFGS iter 213: f=0.000947483
BFGS iter 214: f=0.000947456
BFGS iter 215: f=0.000947412
BFGS iter 216: f=0.000947381
BFGS iter 217: f=0.000947366
BFGS iter 218: f=0.000947358
BFGS iter 219: f=0.000947348
BFGS iter 220: f=0.000947335
BFGS iter 221: f=0.000947325
BFGS iter 222: f=0.000947319
BFGS iter 223: f=0.000947315
BFGS iter 224: f=0.000947313
BFGS iter 225: f=0.000947311
BFGS iter 226: f=0.000947308
BFGS iter 227: f=0.000947303
BFGS iter 228: f=0.000947301
BFGS iter 229: f=0.000947297
BFGS iter 230: f=0.000947293
BFGS iter 231: f=0.000947288
BFGS iter 232: f=0.000947283
BFGS iter 233: f=0.000947275
BFGS iter 234: f=0.000947255
BFGS iter 235: f=0.000947239
BFGS iter 236: f=0.000947231
BFGS iter 237: f=0.000947227
BFGS iter 238: f=0.000947223
BFGS iter 239: f=0.00094722
BFGS iter 240: f=0.000947217
BFGS iter 241: f=0.000947215
BFGS iter 242: f=0.000947212
BFGS iter 243: f=0.000947208
BFGS iter 244: f=0.000947204
BFGS iter 245: f=0.000947197
BFGS iter 246: f=0.000947193
BFGS iter 247: f=0.000947167
BFGS iter 248: f=0.000947137
BFGS iter 249: f=0.000947129
BFGS ended due to small decr. in 50 iterations
MTPR training ended
Rescaling...
   scaling = 0.0416614499380893, condition number = 34.0815802427595
   scaling = 0.0454488544779156, condition number = 35.4658527164711
   scaling = 0.0499937399257072, condition number = 38.1011340376309
   scaling = 0.0549931139182779, condition number = 39.724047900293
   scaling = 0.0599924879108486, condition number = 41.521896930873
Rescaling to 0.0416614499380893... done
Rescaling...
   scaling = 0.0347178749484078, condition number = 35.4501325391321
   scaling = 0.037874045398263, condition number = 34.4267549481983
   scaling = 0.0416614499380893, condition number = 34.0820331165713
   scaling = 0.0458275949318983, condition number = 35.746676968151
   scaling = 0.0499937399257072, condition number = 38.1011254113611
Rescaling to 0.0416614499380893... done

		* * * TRAIN ERRORS * * *

_________________Errors report_________________
Energy:
	Errors checked for 265 configurations
	Maximal absolute difference = 0.497969
	Average absolute difference = 0.115041
	RMS     absolute difference = 0.142652

Energy per atom:
	Errors checked for 265 configurations
	Maximal absolute difference = 0.00778077
	Average absolute difference = 0.00179752
	RMS     absolute difference = 0.00222894

Forces:
	Errors checked for 16960 atoms
	Maximal absolute difference = 0.131611
	Average absolute difference = 0.00745784
	RMS     absolute difference = 0.0164473
	Max(ForceDiff) / Max(Force) = 0.0401569
	RMS(ForceDiff) / RMS(Force) = 0.0441146

Stresses (in eV):
	Errors checked for 265 configurations
	Maximal absolute difference = 4.61832
	Average absolute difference = 0.283667
	RMS     absolute difference = 0.880286
	Max(StresDiff) / Max(Stres) = 0.0664837
	RMS(StresDiff) / RMS(Stres) = 0.116283

Stresses (in GPa):
	Errors checked for 265 configurations
	Maximal absolute difference = 0.776378
	Average absolute difference = 0.0461039
	RMS     absolute difference = 0.143173
	Max(StresDiff) / Max(Stres) = 0.0659529
	RMS(StresDiff) / RMS(Stres) = 0.115303
_______________________________________________

